"Id";"ZipCode";"Place"
1353;2406;"La Châtagne"
1354;2406;"La Châtagne"
1355;2406;"Le Brouillet"
1356;2406;"Le Brouillet"
1357;2406;"Le Brouillet"
1358;2414;"Cerneux-Péquignot"
1359;2416;"Les Brenets"
1360;2502;"Biel/Bienne"
1361;2503;"Biel/Bienne"
1362;2503;"Biel/Bienne"
1363;2504;"Biel/Bienne"
1364;2504;"Biel/Bienne"
1365;2504;"Biel/Bienne"
1366;2505;"Biel/Bienne"
1367;2505;"Biel/Bienne"
1368;2512;"Tüscherz-Alfermée"
1369;2513;"Twann"
1370;2513;"Twann"
1371;2514;"Ligerz"
1372;2514;"Ligerz"
1373;2515;"Prêles"
1374;2516;"Lamboing"
1375;2516;"Lamboing"
1376;2517;"Diesse"
1377;2518;"Nods"
1378;2518;"Nods"
1379;2520;"La Neuveville"
1380;2520;"La Neuveville"
1381;2523;"Lignières"
1382;2523;"Lignières"
1383;2523;"Lignières"
1384;2523;"Lignières"
1385;2523;"Lignières"
1386;2523;"Lignières"
1387;2525;"Le Landeron"
1388;2525;"Le Landeron"
1389;2532;"Magglingen/Macolin"
1390;2532;"Magglingen/Macolin"
1391;2532;"Magglingen/Macolin"
1392;2533;"Evilard"
1393;2534;"Orvin"
1394;2534;"Les Prés-d'Orvin"
1395;2534;"Les Prés-d'Orvin"
1396;2534;"Les Prés-d'Orvin"
1397;2535;"Frinvillier"
1398;2535;"Frinvillier"
1399;2536;"Plagne"
1400;2536;"Plagne"
1401;2537;"Vauffelin"
1402;2538;"Romont BE"
1403;2540;"Grenchen"
1404;2542;"Pieterlen"
1405;2543;"Lengnau BE"
1406;2544;"Bettlach"
1407;2545;"Selzach"
1408;2552;"Orpund"
1409;2552;"Orpund"
1410;2553;"Safnern"
1411;2554;"Meinisberg"
1412;2555;"Brügg BE"
1413;2556;"Scheuren"
1414;2556;"Schwadernau"
1415;2557;"Studen BE"
1416;2557;"Studen BE"
1417;2558;"Aegerten"
1418;2558;"Aegerten"
1419;2560;"Nidau"
1420;2560;"Nidau"
1421;2562;"Port"
1422;2562;"Port"
1423;2563;"Ipsach"
1424;2563;"Ipsach"
1425;2564;"Bellmund"
1426;2565;"Jens"
1427;2572;"Sutz"
1428;2572;"Mörigen"
1429;2575;"Täuffelen"
1430;2575;"Gerolfingen"
1431;2575;"Hagneck"
1432;2575;"Hagneck"
1433;2575;"Hagneck"
1434;2576;"Lüscherz"
1435;2576;"Lüscherz"
